id,name,filename,prompt
"sofa-3","3-sits soffa","sofa-3.png","Fotorealistisk produktbild av en 3-sits soffa på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"sofa-2","2-sits soffa","sofa-2.png","Fotorealistisk produktbild av en 2-sits soffa på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"armchair","Fåtölj","armchair.png","Fotorealistisk produktbild av en Fåtölj på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"coffee-table","Soffbord","coffee-table.png","Fotorealistisk produktbild av en Soffbord på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"tv-stand","TV-bänk","tv-stand.png","Fotorealistisk produktbild av en TV-bänk på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"tv-large","Stor TV","tv-large.png","Fotorealistisk produktbild av en Stor TV på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"tv-small","Liten TV","tv-small.png","Fotorealistisk produktbild av en Liten TV på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"bookshelf","Bokhylla","bookshelf.png","Fotorealistisk produktbild av en Bokhylla på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"lamp-floor","Golvlampa","lamp-floor.png","Fotorealistisk produktbild av en Golvlampa på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"rug-large","Stor matta","rug-large.png","Fotorealistisk produktbild av en Stor matta på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"rug-small","Liten matta","rug-small.png","Fotorealistisk produktbild av en Liten matta på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"mirror-large","Stor spegel","mirror-large.png","Fotorealistisk produktbild av en Stor spegel på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"bed-double","Dubbelsäng","bed-double.png","Fotorealistisk produktbild av en Dubbelsäng på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"bed-single","Enkelsäng","bed-single.png","Fotorealistisk produktbild av en Enkelsäng på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"wardrobe-large","Stor garderob","wardrobe-large.png","Fotorealistisk produktbild av en Stor garderob på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"wardrobe-small","Liten garderob","wardrobe-small.png","Fotorealistisk produktbild av en Liten garderob på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"dresser","Byrå","dresser.png","Fotorealistisk produktbild av en Byrå på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"nightstand","Sängbord","nightstand.png","Fotorealistisk produktbild av en Sängbord på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"lamp-table","Bordslampa","lamp-table.png","Fotorealistisk produktbild av en Bordslampa på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"box-clothes","Klädkartong","box-clothes.png","Fotorealistisk produktbild av en Klädkartong på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"dining-table","Matbord","dining-table.png","Fotorealistisk produktbild av en Matbord på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"dining-chair","Matstol","dining-chair.png","Fotorealistisk produktbild av en Matstol på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"microwave","Mikrovågsugn","microwave.png","Fotorealistisk produktbild av en Mikrovågsugn på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"box-kitchen","Kökskartong","box-kitchen.png","Fotorealistisk produktbild av en Kökskartong på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"bathroom-cabinet","Badrumsskåp","bathroom-cabinet.png","Fotorealistisk produktbild av en Badrumsskåp på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
